,tweet_id
358,1269029714506678272
359,1245394409396547586
360,1263600155569381376
361,1245916432984092672
362,1237704224324096003
363,1237512027897122816
364,1266867209084829698
365,1266809569591857159
366,1271090325772103681
367,1267477124518199298
368,1255935120013484033
369,1260599332438302720
370,1238941687721967616
371,1265883136300167170
372,1267450586527494153
373,1242207767269707777
374,1241971682123952128
375,1241765938514604032
376,1243509961877004289
377,1230123269824688134
378,1265843428673441792
379,1265705775365750785
380,1265680843244212224
381,1265648702158508032
382,1265588320492544001
383,1237029894044835840
384,1262553555887628291
385,1243291945948061697
386,1255005609528868864
387,1271625730065969152
388,1271093157049126924
389,1270387168909971458
390,1267545618513309696
391,1253080832887205895
392,1258567409398689792
393,1254867110678990858
394,1268948714162319365
395,1239908744772964352
396,1240633529161170946
397,1252687318114164736
398,1255600905904222208
399,1258009931170689025
400,1252938507951144961
401,1260588883563036672
402,1249470947830181889
403,1238879076577882112
404,1253160680359751681
405,1257408617181073408
406,1263098651888549889
407,1267195273127833600
408,1248371414358470657
409,1258539218248187905
410,1238856160649695232
411,1258212091611115521
412,1271906956530249728
413,1253411090190315522
414,1265987275638411265
415,1237487390391963651
416,1247312726315188234
417,1244680518253383681
418,1260985020967276545
419,1250381283794079744
420,1252475930167046149
421,1253010828787249152
422,1265999887650492418
423,1253649018166538240
424,1266393536179691521
425,1269977481194246145
426,1269928555720454149
427,1258080080615690241
428,1250060508058857474
429,1266401677592027137
430,1263623205316694018
431,1245907868131495938
432,1247298907115323392
433,1234616089818124288
434,1270331316769304576
435,1230233357352624129
436,1253335927566397442
437,1258571972801433600
438,1270888912685281281
439,1265958550351773697
440,1245134902498131969
441,1255515446591344641
442,1267634808873680897
443,1240034202457911309
444,1250255482679369728
445,1230222158644690946
446,1240013370964787201
447,1230232860545564673
448,1254876017514221568
449,1249494369566101504
450,1255137333428367362
451,1242560250152132612
452,1251789640329236480
453,1251654469869240320
454,1251483474416058368
455,1248216890373214209
456,1255110659861360642
457,1271110194005708800
458,1238070596665253890
459,1260532192247250944
460,1270351050739011585
461,1234923461740548097
462,1253446947337199616
463,1255323067729002498
464,1257567357205168128
465,1257471419962793985
466,1260621669741322240
467,1258066513178681350
468,1255265947499343872
469,1257991075983220737
470,1265775218183868420
471,1267770277984944135
472,1252077026359472128
473,1245546496663138304
474,1245257088097497089
475,1241952815657992192
476,1240241218942050310
477,1239658020352790529
478,1239579678307827724
479,1238021913693147139
480,1237553829261918210
481,1248697403445780482
482,1247910023705100292
483,1239578688628428800
484,1232724610862415873
485,1252243768192966656
486,1255605482343014403
487,1245852369004294146
488,1265699678466654209
489,1270718689118052353
490,1248678900189675525
491,1270073540553969665
492,1255433529049128961
493,1268243441206484992
494,1268913332968357892
495,1252348543890624517
496,1271396835719090177
497,1271395913748099072
498,1258323404668764160
499,1267608053979009027
500,1264996116602519552
501,1269964528009089025
502,1263826293927432194
503,1247967040394199042
504,1243672621314650112
505,1253095627698790401
506,1255605537867067393
507,1264271424069525506
508,1264232334020284417
509,1266569511362314240
510,1266580037505093632
511,1252578791521689603
512,1243700283877863426
513,1268277228170817536
514,1263069228015456257
515,1242945493014958081
516,1264245174835838977
517,1265606946343747590
518,1264036720330211328
519,1246088400660246532
520,1266416295454466048
521,1270211519750508548
522,1270260592637628416
523,1249639676417318913
524,1240476779241930752
525,1240217376286748673
526,1252016454955945989
527,1250416399136092162
528,1253125592049999872
529,1245189416001261568
530,1233858478411845632
531,1255598260179423232
532,1258205790738972675
533,1230113066148188161
534,1248213400804564992
535,1257523803309002754
536,1263452234056073216
537,1260455126835265550
538,1260579828715130884
539,1249086162255384583
540,1268272970365050881
541,1249909761199329281
542,1251457672798445568
543,1265127778975756290
544,1246027162341294081
545,1240712529271091200
546,1247291641293090818
547,1263592040878596103
548,1257862408241991680
549,1251950567380918274
550,1248496694875975682
551,1266582141644636160
552,1269111040773509120
553,1228425082957160449
554,1234907762322296832
555,1234227101215186945
556,1234078530130108418
557,1247490065615314944
558,1250461584142598149
559,1250411851281727488
560,1238787984008163330
561,1242654324309676034
562,1264157372609675264
563,1264171722338697217
564,1269468892771921920
565,1243753569615921152
566,1249064915823968256
567,1260355835005411328
568,1254595009975853057
569,1255189682339504129
570,1250531716575432704
571,1254893287359623168
572,1269721550401478661
573,1247900184899497991
574,1271873987660791808
575,1251079872723771393
576,1250516264897961986
577,1243608594756632578
578,1263843534324498436
579,1263787443024691202
580,1264828549883662336
581,1257100011524902912
582,1237730135555506177
583,1251974624276971521
584,1265604949829918720
585,1240995983279960065
586,1263157313982119936
587,1263381418052333569
588,1232687545135222784
589,1250799872183238656
590,1250834866696003584
591,1264903580449988608
592,1244028084459909120
593,1266791738603114496
594,1266996406188941315
595,1253167471583846402
596,1234608335263010817
597,1252996109087186944
598,1230834838506213381
599,1248584232898879489
600,1232747673972699136
601,1262714801182162946
602,1262696590105612294
603,1248594343960682497
604,1243496816743796736
605,1243358610387652608
606,1243993835560153089
607,1243848408873435136
608,1249885677434671109
609,1249819339890581505
610,1249532131283546114
611,1249578419454652416
612,1249327897866895361
613,1234107127158861824
614,1255341192335802368
615,1258175604815351809
616,1244172441531768832
617,1242745539621294080
618,1242647393507708931
619,1242285005516075010
620,1241998115223121920
621,1241926391433777153
622,1240537237810372609
623,1239446300615155712
624,1239365301931835392
625,1263125330333663232
626,1263067316130103296
627,1251279605220196352
628,1238040427183222785
629,1253652754238705667
630,1264620513067966464
631,1260053785357045760
632,1259872553620967424
633,1252313964358307841
634,1251913292810944512
635,1264194183604113408
636,1243748245614088192
637,1262518115168137216
638,1264283095273861120
639,1265162572568899591
640,1233702839932710912
641,1266808166710476802
642,1260354357452734465
643,1266412638533287936
644,1270844309705818112
645,1247502134981124096
646,1242593153124839426
647,1238190009510920196
648,1266157559427325952
649,1265027752458989568
650,1263458814453526528
651,1255089999692943366
652,1243706252204462085
653,1267064325480558592
654,1248214471366987776
655,1260591020078764033
656,1267508862657138688
657,1267386349558136838
658,1255775284445327361
659,1264019052894334977
660,1238183118227431424
661,1243896637048508416
662,1257597483921924098
663,1247461742940246016
664,1252731107411292167
665,1267139517116448775
666,1271246340039806977
667,1271270570680819714
668,1260272740818456578
669,1244966997856837637
670,1257691552584855554
671,1250872732717207552
672,1252194542490660865
673,1239734741865299968
674,1246162183513202693
675,1258186341898215424
676,1244680679574536194
677,1258745943719129088
678,1258752962064678912
679,1253317591008866304
680,1270704659435409409
681,1270694228587425797
682,1270725925777235968
683,1270346292133335040
684,1270499534246903808
685,1266768184931213313
686,1268322961250848769
687,1265604644841144329
688,1265492929386295298
689,1244454282897895424
690,1264334940386193408
691,1265606921899384832
692,1270710532979318789
693,1250169594133860353
694,1269955632389591043
695,1244435119492005888
696,1252355104335790085
697,1245788026111954944
698,1267658637327183874
699,1267479176149372934
700,1267429437567455232
701,1267395370759467008
702,1237075722432282624
703,1271649766938558471
704,1249419555979563008
705,1239894149739905024
706,1242619450219794439
707,1266376801552461824
708,1250207023750361100
709,1250243370418679814
710,1270927253778493442
711,1244702963831984128
712,1244083986558849030
713,1267591119841431555
714,1248158994327371777
715,1242781860469579776
716,1241126371717513217
717,1257706171840040961
718,1262696580957822976
719,1248586957732614144
720,1258786892092289024
721,1249840902052491264
722,1264660906631467009
723,1248444463912976384
724,1248406752560726019
725,1246163963189981186
726,1260591835065602049
727,1248500688067284994
728,1271806343058513926
729,1269788115247329281
730,1245826341003563008
731,1263879616827195399
732,1244581849495715841
733,1243526329519267842
734,1249816018387709953
735,1260562077258641410
736,1260403149531209728
737,1260535377061990400
738,1260344003679019008
739,1255861993493291008
740,1262382789682495497
741,1262376525082607621
742,1262376476906860544
743,1250234888638300161
744,1249738351139328001
745,1253717907479187457
746,1271565358906957824
747,1270018201242435584
748,1270743754450886657
749,1264177751986143232
750,1250789260757786626
751,1250807058326224897
752,1258092169572823041
753,1241978121865363456
754,1241857527496749056
755,1252990547200897027
756,1252899058982834176
757,1243505840067403776
758,1240956477923344384
759,1242599141697556480
760,1249163010809135105
761,1248277283380625416
762,1248483347329843202
763,1239891735104196608
764,1239866507494068224
765,1250107801164120064
766,1253728607656120320
767,1270309403539976195
768,1270170404678782976
769,1241865168201625600
770,1239991829837332481
771,1248909029335851008
772,1252951053290463234
773,1257432966973849605
774,1250425674700976131
775,1267653068549763072
776,1254987670826168320
777,1264234708608716806
778,1264153374880120834
779,1255133170644602881
780,1264396843338698760
781,1266696123659542529
782,1253036137985331200
783,1252427055318175746
784,1239195899458248711
785,1262869042982879233
786,1267339178964115456
787,1267693643969769478
788,1248096436534689792
789,1237715805825105920
790,1241849083444297735
791,1240783140702113793
792,1271808898245242880
793,1258505416180297728
794,1251898349415997448
795,1250479280305459200
796,1237766124336328704
797,1265639657993236486
